Id,Result,Prefab,Model
"U05","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U05.prefab","Assets/CompanyWarRE/Resources/NewFbx/u05.fbx"
"U06","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U06.prefab","Assets/CompanyWarRE/Resources/NewFbx/u06.fbx"
"U07","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U07.prefab","Assets/CompanyWarRE/Resources/NewFbx/u07.fbx"
"U08","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U08.prefab","Assets/CompanyWarRE/Resources/NewFbx/u08.fbx"
"U09","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U09.prefab","Assets/CompanyWarRE/Resources/NewFbx/u09.fbx"
"U10","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U10.prefab","Assets/CompanyWarRE/Resources/NewFbx/u10.fbx"
"U11","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U11.prefab","Assets/CompanyWarRE/Resources/NewFbx/u11.fbx"
"U12","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U12.prefab","Assets/CompanyWarRE/Resources/NewFbx/u12.fbx"
"U13","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U13.prefab",""
"U14","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U14.prefab",""
"U15","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U15.prefab","Assets/CompanyWarRE/Resources/NewFbx/u15.fbx"
"U16","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U16.prefab",""
"U17","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U17.prefab",""
"U18","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U18.prefab",""
"U19","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U19.prefab",""
"U20","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U20.prefab",""
"U21","Height adjusted; model unchanged because NewFbx is missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U21.prefab",""
"U22","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U22.prefab",""
"U23","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U23.prefab",""
"U24","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U24.prefab",""
