"Script","Line","Evidence"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","90","Directory.CreateDirectory(_outputPrefabPath + ""Enemies/"");"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","91","Directory.CreateDirectory(_outputPrefabPath + ""Buildings/"");"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","92","Directory.CreateDirectory(_outputPrefabPath + ""Models/"");"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","93","Directory.CreateDirectory(_outputMaterialPath);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","99","if (!File.Exists(_unitsJsonPath))"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","105","var unitsJson = File.ReadAllText(_unitsJsonPath);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","106","var wrapper = JsonUtility.FromJson<UnitsWrapper>(unitsJson);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","133","if (!File.Exists(_enemiesJsonPath))"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","139","var enemiesJson = File.ReadAllText(_enemiesJsonPath);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","140","var wrapper = JsonUtility.FromJson<EnemiesWrapper>(enemiesJson);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","317","if (File.Exists(_unitsJsonPath))"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","319","var unitsJson = File.ReadAllText(_unitsJsonPath);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","320","var wrapper = JsonUtility.FromJson<UnitsWrapper>(unitsJson);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","353","if (File.Exists(_enemiesJsonPath))"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","355","var enemiesJson = File.ReadAllText(_enemiesJsonPath);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","356","var wrapper = JsonUtility.FromJson<EnemiesWrapper>(enemiesJson);"
"Assets/_Game/Editor/RuntimeConfigBuildSync.cs","42","if (!Directory.Exists(sourcePath))"
"Assets/_Game/Editor/RuntimeConfigBuildSync.cs","48","Directory.CreateDirectory(targetPath);"
"Assets/_Game/Editor/RuntimeConfigBuildSync.cs","63","Directory.CreateDirectory(targetDir);"
"Assets/_Game/Editor/RuntimeConfigBuildSync.cs","68","if (file.Extension == "".meta"")"
"Assets/_Game/Editor/RuntimeConfigBuildSync.cs","73","file.CopyTo(Path.Combine(targetDir, file.Name), true);"
"Assets/_Game/Editor/RuntimeConfigBuildSync.cs","78","CopyDirectory(directory.FullName, Path.Combine(targetDir, directory.Name));"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","491","if (!File.Exists(path))"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","499","var wrapper = JsonUtility.FromJson<SpawnSchedulesWrapper>(File.ReadAllText(path));"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","513","var json = JsonUtility.ToJson(wrapper, prettyPrint: true);"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","516","if (!Directory.Exists(directory))"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","518","Directory.CreateDirectory(directory);"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","522","File.WriteAllText(path, json);"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","536","var json = File.ReadAllText(path);"
"Assets/_Game/Editor/SpawnScheduleEditorWindow.cs","537","var wrapper = JsonUtility.FromJson<SpawnSchedulesWrapper>(json);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","421","if (File.Exists(unitsPath))"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","423","var wrapper = JsonUtility.FromJson<UnitsWrapper>(File.ReadAllText(unitsPath));"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","431","if (File.Exists(enemiesPath))"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","433","var wrapper = JsonUtility.FromJson<EnemiesWrapper>(File.ReadAllText(enemiesPath));"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","622","var json = JsonUtility.ToJson(wrapper, true);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","625","if (!Directory.Exists(directory))"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","627","Directory.CreateDirectory(directory);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","631","File.WriteAllText(path, json);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","645","var json = File.ReadAllText(path);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","646","var wrapper = JsonUtility.FromJson<UnitsWrapper>(json);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","660","var json = JsonUtility.ToJson(wrapper, true);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","663","if (!Directory.Exists(directory))"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","665","Directory.CreateDirectory(directory);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","669","File.WriteAllText(path, json);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","683","var json = File.ReadAllText(path);"
"Assets/_Game/Editor/UnitEnemyCatalogEditorWindow.cs","684","var wrapper = JsonUtility.FromJson<EnemiesWrapper>(json);"
"Assets/_Game/Scripts/Logic/Core/Data/JsonConfigProvider.cs","233","if (!File.Exists(filePath))"
"Assets/_Game/Scripts/Logic/Core/Data/JsonConfigProvider.cs","241","var json = File.ReadAllText(filePath);"
"Assets/_Game/Scripts/Logic/Core/Data/JsonConfigProvider.cs","242","var wrapped = JsonUtility.FromJson<AuthorizationStageListWrapper>(json);"
"Assets/_Game/Scripts/Procedure/States/BattleState.cs","62","var currentSaved = LevelCatalog.NormalizeOrDefault(PlayerPrefs.GetString(""CompanyWar.LastLevel"", ""L00""));"
"Assets/_Game/Scripts/Procedure/States/BattleState.cs","70","PlayerPrefs.SetString(""CompanyWar.LastLevel"", resolvedLevelId);"
"Assets/_Game/Scripts/UI/BattleUIController.cs","2559","var current = PlayerPrefs.GetInt(key, 0);"
"Assets/_Game/Scripts/UI/BattleUIController.cs","2562","PlayerPrefs.SetInt(key, Mathf.Clamp(starCount, 0, 3));"
"Assets/_Game/Scripts/UI/BattleUIController.cs","2563","PlayerPrefs.Save();"
"Assets/_Game/Scripts/UI/BattleUIController.cs","2568","var currentSaved = LevelCatalog.NormalizeOrDefault(PlayerPrefs.GetString(""CompanyWar.LastLevel"", ""L00""));"
"Assets/_Game/Scripts/UI/BattleUIController.cs","2581","PlayerPrefs.SetString(""CompanyWar.LastLevel"", resolvedLevelId);"
"Assets/_Game/Scripts/UI/BattleUIController.cs","2582","PlayerPrefs.Save();"
"Assets/_Game/Scripts/UI/LevelSelectUIController.cs","637","var savedLevelId = PlayerPrefs.GetString(""CompanyWar.LastLevel"", ""L00"");"
"Assets/_Game/Scripts/UI/LevelSelectUIController.cs","688","var stars = PlayerPrefs.GetInt($""CompanyWar.LevelStars.{data.LevelId}"", 0);"
"Assets/_Game/Scripts/UI/LevelSelectUIHierarchyBuilder.cs","1110","var savedLevelId = PlayerPrefs.GetString(""CompanyWar.LastLevel"", ""L00"");"
"Assets/_Game/Scripts/UI/LevelSelectUIHierarchyBuilder.cs","1161","var stars = PlayerPrefs.GetInt($""CompanyWar.LevelStars.{data.LevelId}"", 0);"
"Assets/_Game/Scripts/UI/MainMenuUIController.cs","108","var hasLastLevel = PlayerPrefs.HasKey(""CompanyWar.LastLevel"");"
"Assets/_Game/Scripts/UI/MainMenuUIController.cs","116","PlayerPrefs.GetString(""CompanyWar.LastLevel"", ""L00""));"
"Assets/_Game/Scripts/UI/MainMenuUIHierarchyBuilder.cs","932","var hasLastLevel = PlayerPrefs.HasKey(""CompanyWar.LastLevel"");"
"Assets/_Game/Scripts/UI/MainMenuUIHierarchyBuilder.cs","942","PlayerPrefs.GetString(""CompanyWar.LastLevel"", ""L00"")"
"Assets/_Game/Scripts/Utils/ConfigUtil.cs","75","value = JsonUtility.FromJson<T>(json);"
"Assets/_Game/Scripts/Utils/ConfigUtil.cs","102","if (File.Exists(streamingPath))"
"Assets/_Game/Scripts/Utils/ConfigUtil.cs","104","text = File.ReadAllText(streamingPath);"
"Assets/_Game/Scripts/Utils/ConfigUtil.cs","118","if (File.Exists(editorPath))"
"Assets/_Game/Scripts/Utils/ConfigUtil.cs","120","text = File.ReadAllText(editorPath);"
"Assets/_Game/Scripts/Utils/ConfigUtil.cs","150","if (!Directory.Exists(directoryPath))"
"Assets/_Game/Scripts/Utils/ConfigUtil.cs","155","var files = Directory.GetFiles(directoryPath, ""*.json"");"
"Assets/_Game/Scripts/Utils/JsonConfigUtil.cs","83","var w = JsonUtility.FromJson<ListWrapper<T>>(s);"
"Assets/_Game/Scripts/Utils/JsonConfigUtil.cs","110","var obj = JsonUtility.FromJson<T>(jsonText);"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","13","/// <summary>音频系统常量定义：包含 PlayerPrefs 键与 Addressables 资源键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","17","/// <summary>主音量的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","19","/// <summary>BGM 音量的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","21","/// <summary>SFX 音量的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","23","/// <summary>UI 音量的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","25","/// <summary>语音音量的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","27","/// <summary>主层静音状态的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","29","/// <summary>BGM 层静音状态的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","31","/// <summary>SFX 层静音状态的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","33","/// <summary>UI 层静音状态的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioDefines.cs","35","/// <summary>语音层静音状态的 PlayerPrefs 键。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","67","/// - 音量与静音状态持久化到 PlayerPrefs；"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","116","/// <summary>从 PlayerPrefs 读取各音频层的音量与静音状态。</summary>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","121","_volumes[layer] = PlayerPrefs.GetFloat(GetVolumeKey(layer), 1.0f);"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","122","_muteStates[layer] = PlayerPrefs.GetInt(GetMuteKey(layer), 0) == 1;"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","287","PlayerPrefs.SetFloat(GetVolumeKey(layer), volume);"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","305","PlayerPrefs.SetInt(GetMuteKey(layer), isMute ? 1 : 0);"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","327","/// <returns>用于 PlayerPrefs 的键。</returns>"
"Assets/_YFanFramework/Scripts/Systems/AudioSystem/AudioSystem.cs","342","/// <returns>用于 PlayerPrefs 的键。</returns>"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","10","/// 对称加密工具接口，提供基于 AES 的字节加解密能力。"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","13","/// 作为 QFramework 的 IUtility，由实现类通过 AutoRegister 注入。默认算法为 AES/CBC/PKCS7，Key 与 IV 使用 UTF8 字节，长度不足时右侧补 0，多余时截断至 16 字节。"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","15","public interface IEncryptionUtil : IUtility"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","18","/// 设置 AES Key 与 IV。"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","28","byte[] Encrypt(byte[] data);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","34","byte[] Decrypt(byte[] data);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","37","[AutoRegister(typeof(IEncryptionUtil), 10)]"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","39","/// AES 加解密工具默认实现，采用 AES/CBC/PKCS7 填充模式。"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","46","public class EncryptionUtil : IEncryptionUtil"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","48","private string _aesKey = ""YFanFrameworkKey"";"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","49","private string _aesIV = ""YFanFramework_IV"";"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","60","YLog.Warn(""密钥长度需要大于等于16位"", ""EncryptionUtil"");"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","63","_aesKey = key.Length > 16 ? key.Substring(0, 16) : key.PadRight(16, '0');"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","64","_aesIV = (iv != null && iv.Length > 16) ? iv.Substring(0, 16) : (iv ?? """").PadRight(16, '0');"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","68","/// 执行 <c>Encrypt</c> 对应的业务逻辑。"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","72","public byte[] Encrypt(byte[] data)"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","74","return EncryptAES(data, _aesKey, _aesIV);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","78","/// 执行 <c>Decrypt</c> 对应的业务逻辑。"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","82","public byte[] Decrypt(byte[] data)"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","84","return DecryptAES(data, _aesKey, _aesIV);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","87","private byte[] EncryptAES(byte[] plainBytes, string key, string iv)"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","89","using (Aes aes = Aes.Create())"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","91","aes.Key = Encoding.UTF8.GetBytes(key);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","92","aes.IV = Encoding.UTF8.GetBytes(iv);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","93","aes.Padding = PaddingMode.PKCS7;"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","94","aes.Mode = CipherMode.CBC;"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","96","using (ICryptoTransform encryptor = aes.CreateEncryptor(aes.Key, aes.IV))"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","99","using (CryptoStream cs = new CryptoStream(ms, encryptor, CryptoStreamMode.Write))"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","108","private byte[] DecryptAES(byte[] cipherBytes, string key, string iv)"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","110","using (Aes aes = Aes.Create())"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","112","aes.Key = Encoding.UTF8.GetBytes(key);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","113","aes.IV = Encoding.UTF8.GetBytes(iv);"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","114","aes.Padding = PaddingMode.PKCS7;"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","115","aes.Mode = CipherMode.CBC;"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","117","using (ICryptoTransform decryptor = aes.CreateDecryptor(aes.Key, aes.IV))"
"Assets/_YFanFramework/Scripts/Utils/EncryptionUtil.cs","119","using (CryptoStream cs = new CryptoStream(ms, decryptor, CryptoStreamMode.Read))"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","72","/// 获取持久化数据路径 Application.persistentDataPath。"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","75","string GetPersistentDataPath();"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","111","File.WriteAllText(path, content, _encoding);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","129","return File.ReadAllText(path, _encoding);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","145","File.WriteAllBytes(path, data);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","163","return File.ReadAllBytes(path);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","174","return File.Exists(path);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","184","return Directory.Exists(path);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","198","Directory.CreateDirectory(path);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","210","File.Delete(path);"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","215","/// 获取 <c>PersistentDataPath</c>。"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","218","public string GetPersistentDataPath()"
"Assets/_YFanFramework/Scripts/Utils/FileIOUtil.cs","220","return Application.persistentDataPath;"
"Assets/_YFanFramework/Scripts/Utils/LogUtil.cs","76","/// - 文件保存：默认在 Application.persistentDataPath/Logs/ 下创建日志文件并清理超过 7 天的旧文件。<br/>"
"Assets/_YFanFramework/Scripts/Utils/LogUtil.cs","134","string dir = Path.Combine(Application.persistentDataPath, ""Logs"");"
"Assets/_YFanFramework/Scripts/Utils/LogUtil.cs","135","if (!Directory.Exists(dir)) Directory.CreateDirectory(dir);"
"Assets/_YFanFramework/Scripts/Utils/LogUtil.cs","150","string dir = Path.Combine(Application.persistentDataPath, ""Logs"");"
"Assets/_YFanFramework/Scripts/Utils/LogUtil.cs","151","if (!Directory.Exists(dir)) return;"
"Assets/_YFanFramework/Scripts/Utils/LogUtil.cs","159","if (file.CreationTime < expireTime)"
"Assets/_YFanFramework/Scripts/Utils/LogUtil.cs","161","file.Delete();"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","14","/// 存档工具接口，提供加密/非加密的异步保存与读取，以及 PlayerPrefs 封装。"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","18","/// 加解密由 <see cref=""IEncryptionUtil""/> 提供；文件 IO 由 <see cref=""IFileIOUtil""/> 提供。"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","20","public interface ISaveUtil : IUtility"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","27","void SetEncryptionKey(string key, string iv);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","32","void EnableEncryption(bool enable);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","36","/// <typeparam name=""T"">可被 JsonUtility 序列化的类型。</typeparam>"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","45","/// <typeparam name=""T"">可被 JsonUtility 序列化的类型。</typeparam>"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","90","/// <summary>显式保存 PlayerPrefs。</summary>"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","111","/// 删除所有存档（包含 PlayerPrefs 与磁盘文件）。"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","116","[AutoRegister(typeof(ISaveUtil), 10)]"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","121","/// 作为 <see cref=""IUtility""/> 使用；文件读写与加解密分别由 <see cref=""IFileIOUtil""/> 与 <see cref=""IEncryptionUtil""/> 提供。<br/>"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","124","public class SaveUtil : ISaveUtil"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","127","private IEncryptionUtil _encryptionUtil;"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","141","private IEncryptionUtil EncryptionUtil"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","145","if (_encryptionUtil == null)"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","147","_encryptionUtil = YFanApp.Interface.GetUtility<IEncryptionUtil>();"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","149","return _encryptionUtil;"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","153","private bool _isEncryptionEnabled = true;"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","163","_encryptionUtil = YFanApp.Interface.GetUtility<IEncryptionUtil>();"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","171","public void SetEncryptionKey(string key, string iv)"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","173","EncryptionUtil.SetKey(key, iv);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","180","public void EnableEncryption(bool enable)"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","182","_isEncryptionEnabled = enable;"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","194","/// <typeparam name=""T"">可被 JsonUtility 序列化的类型。</typeparam>"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","207","string json = JsonUtility.ToJson(data, true); // 序列化为 JSON（带缩进）"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","211","if (_isEncryptionEnabled)"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","213","bytes = EncryptionUtil.Encrypt(bytes); // 可选加密"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","220","YLog.Exception(e, ""SaveUtil"");"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","252","if (_isEncryptionEnabled)"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","256","bytes = EncryptionUtil.Decrypt(bytes); // 可选解密"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","260","YLog.Error($""解密失败：{key}。可能文件未加密或密钥错误"", ""SaveUtil"");"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","267","return JsonUtility.FromJson<T>(json);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","271","YLog.Exception(e, ""SaveUtil"");"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","284","string folder = Path.Combine(FileUtil.GetPersistentDataPath(), SAVE_ROOT_DIR, $""Slot_{slotIndex}"");"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","285","string extension = _isEncryptionEnabled ? "".sav"" : "".json"";"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","290","public void SetInt(string key, int value) => PlayerPrefs.SetInt(key, value);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","292","public int GetInt(string key, int defaultValue = 0) => PlayerPrefs.GetInt(key, defaultValue);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","294","public void SetFloat(string key, float value) => PlayerPrefs.SetFloat(key, value);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","296","public float GetFloat(string key, float defaultValue = 0f) => PlayerPrefs.GetFloat(key, defaultValue);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","298","public void SetString(string key, string value) => PlayerPrefs.SetString(key, value);"
"Assets/_YFanFramework/Scripts/Utils/SaveUtil.cs","300","public string GetString(string key, string defaultValue = """") => PlayerPrefs.GetString(key, defaultValue);"
