"Project","Package","RequestedVersion","ResolvedVersion","Depth","Source"
"Company War-RE","com.unity.visualscripting","1.9.4","1.9.4","0","Packages/manifest.json"
"Cow","com.unity.addressables","1.21.20","1.21.20","0","Packages/manifest.json"
"Cow","com.unity.modules.ai","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.androidjni","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.animation","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.assetbundle","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.audio","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.cloth","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.director","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.imageconversion","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.imgui","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.jsonserialize","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.particlesystem","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.physics","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.physics2d","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.screencapture","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.terrain","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.terrainphysics","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.tilemap","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.ui","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.uielements","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.umbra","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.unityanalytics","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.unitywebrequest","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.unitywebrequestassetbundle","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.unitywebrequestaudio","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.unitywebrequesttexture","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.unitywebrequestwww","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.vehicles","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.video","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.vr","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.wind","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.modules.xr","1.0.0","1.0.0","0","Packages/manifest.json"
"Cow","com.unity.textmeshpro","3.0.6","3.0.6","0","Packages/manifest.json"
"Cow","com.unity.ugui","1.0.0","1.0.0","0","Packages/manifest.json"
