"TemplateId","Kind","PrefabGuid","PrefabSourcePath","MaterialGuid","MaterialSourcePath","ModelGuid","ModelSourcePath","TargetStatus","Notes"
"U11","Unit","7552d5651be231e4282c60170d3b8b34","Assets/_Game/Art/Prefabs/Buildings/PF_U11.prefab","1f1085ead6f614f4c90d2205e9b00e82","Assets/_Game/Art/Materials/Mat_U11.mat","7552d5651be231e4282c60170d3b8b34","Assets/_Game/Art/Prefabs/Buildings/PF_U11.prefab","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U12","Unit","96ea450f4bf628c48a2d0f8422a35818","Assets/_Game/Art/Prefabs/Units/PF_U12.prefab","2147c28186a7299469433e782704d536","Assets/_Game/Art/Materials/Mat_U12.mat","5fc5c250c14be5a459fa67e055683317","Assets/_Game/Art/Prefabs/Units/U12.prefab","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U13","Unit","ecb679c8b1807ff48a7604af4b753951","Assets/_Game/Art/Prefabs/Units/PF_U13.prefab","827d6fbfd139a1e4b96b0f5514d1182a","Assets/_Game/Art/Materials/Mat_U13.mat","68ae6ee796188e94283e0506823d4a47","Assets/_Game/Art/Prefabs/Units/U13.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U14","Unit","99bac7bc9a9e1b744a802557e76790cb","Assets/_Game/Art/Prefabs/Units/PF_U14.prefab","ab307c542de35634aacae5979fab158a","Assets/_Game/Art/Prefabs/Units/U14.obj","ab307c542de35634aacae5979fab158a","Assets/_Game/Art/Prefabs/Units/U14.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U15","Unit","dac57947227da0c4b93ed5289ece8a8e","Assets/_Game/Art/Prefabs/Units/PF_U15.prefab","1f992d9977143f84fb2b093383f76dbc","Assets/_Game/Art/Materials/Mat_U15.mat","ab307c542de35634aacae5979fab158a","Assets/_Game/Art/Prefabs/Units/U14.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U16","Unit","b016c8f233532824189294bfdfe3c834","Assets/_Game/Art/Prefabs/Units/PF_U16.prefab","cf1fbe87ebc762e4494c700b2da97c90","Assets/_Game/Art/Materials/Mat_U16.mat","56da723d8d583a148be9ced563599a29","Assets/_Game/Art/Prefabs/Units/U15.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U17","Unit","b02464fd1f2f4b14db86c928c46e08c4","Assets/_Game/Art/Prefabs/Units/PF_U17.prefab","7eecd33d48a0c3c45948b75a96738957","Assets/_Game/Art/Materials/Mat_U17.mat","b848851dab9ebb14f8ebe8bc60b9deb1","Assets/_Game/Art/Prefabs/Units/U17.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U18","Unit","6e9f917ad8ac09b46a3957f3e5e11944","Assets/_Game/Art/Prefabs/Units/PF_U18.prefab","650ebd669a825974fb456ee5c5558696","Assets/_Game/Art/Materials/Mat_U18.mat","009ac6640f9484547b2aa869eb90bb1c","Assets/_Game/Art/Prefabs/Units/U18.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U19","Unit","332beb290a0cc784684e6c5e5e8cb220","Assets/_Game/Art/Prefabs/Units/PF_U19.prefab","476ab43df98a3c745976b25fc66c2bd6","Assets/_Game/Art/Materials/Mat_U19.mat","dee8a5b75337eaf479bcd629e82b43d4","Assets/_Game/Art/Prefabs/Units/U19.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U20","Unit","00605699940079840ad0810d9d08dc97","Assets/_Game/Art/Prefabs/Units/PF_U20.prefab","1d59cd44ecfa9df4fadbd3f0f8a5ff35","Assets/_Game/Art/Materials/Mat_U20.mat","67ae6071e3347f84a9276cfcdbdb6f1b","Assets/_Game/Art/Prefabs/Units/U20.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U21","Unit","236de9af2145e5b4592c70791efeda84","Assets/_Game/Art/Prefabs/Buildings/PF_U21.prefab","909c865c9a68d5148b4b1ad1568abec4","Assets/_Game/Art/Materials/Mat_U21.mat","35cd3509e163e1b42b578ea273d6d9cf","Assets/_Game/Art/Prefabs/Units/U21.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U22","Unit","6f6189b0cceb888419584e7530f12876","Assets/_Game/Art/Prefabs/Units/PF_U22.prefab","c8e79dc34b988ee4e81125ff5822bc2a","Assets/_Game/Art/Materials/Mat_U22.mat","480d291e10bb297448a38267e7c351ef","Assets/_Game/Art/Prefabs/Units/U22.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U23","Unit","3f95a2e723ab16947a03faffad16fe67","Assets/_Game/Art/Prefabs/Units/PF_U23.prefab","b75c2872c5e06234dafa2a8bcacb768b","Assets/_Game/Art/Materials/Mat_U23.mat","c311545f5de42304d8e7ec2d47e717e5","Assets/_Game/Art/Prefabs/Units/U23.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U24","Unit","a0efc8b2f6954574b819e4c79451efdf","Assets/_Game/Art/Prefabs/Units/PF_U24.prefab","b42cfda76b577b945a64ff70ab963ba5","Assets/_Game/Art/Materials/Mat_U24.mat","990d2cc118354784ba1f84065fc8c05e","Assets/_Game/Art/Prefabs/Units/U24.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U25","Unit","71dd222b664f2dd4bad7db06bea49f6f","Assets/_Game/Resources/u25.fbx","","","71dd222b664f2dd4bad7db06bea49f6f","Assets/_Game/Resources/u25.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U26","Unit","0aa86820830c6c04aad6058c8461bcb6","Assets/_Game/Resources/u26.fbx","","","0aa86820830c6c04aad6058c8461bcb6","Assets/_Game/Resources/u26.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U27","Unit","d77e9a4600cc9734e98e189c3056d183","Assets/_Game/Resources/u27.fbx","","","d77e9a4600cc9734e98e189c3056d183","Assets/_Game/Resources/u27.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U28","Unit","247ebbd6584a4ed40b134e8eba1264b2","Assets/_Game/Resources/u28.fbx","","","247ebbd6584a4ed40b134e8eba1264b2","Assets/_Game/Resources/u28.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U29","Unit","42db1090b6cdb9f44a4e1ebec7f774ad","Assets/_Game/Resources/u29.fbx","","","42db1090b6cdb9f44a4e1ebec7f774ad","Assets/_Game/Resources/u29.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U30","Unit","5b83fbb5e29fce641964061aa2dfe055","Assets/_Game/Resources/u30.fbx","","","5b83fbb5e29fce641964061aa2dfe055","Assets/_Game/Resources/u30.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U31","Unit","290d574d41075334f8592bc76741b01d","Assets/_Game/Resources/u31fbx.fbx","","","290d574d41075334f8592bc76741b01d","Assets/_Game/Resources/u31fbx.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U32","Unit","f480bba0361852147914fb6ca5b79ec4","Assets/_Game/Resources/u32.fbx","","","f480bba0361852147914fb6ca5b79ec4","Assets/_Game/Resources/u32.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U33","Unit","6e32aa0a679432a48bc258313c546d72","Assets/_Game/Resources/u33.fbx","","","6e32aa0a679432a48bc258313c546d72","Assets/_Game/Resources/u33.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U34","Unit","ade51b4967bb72644b3910464166f806","Assets/_Game/Resources/u34.fbx","","","ade51b4967bb72644b3910464166f806","Assets/_Game/Resources/u34.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U35","Unit","4c26b9315913fb846a5d463b3a6efa87","Assets/_Game/Resources/u35.fbx","","","4c26b9315913fb846a5d463b3a6efa87","Assets/_Game/Resources/u35.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"U36","Unit","df92ac2564996814da348089a258201f","Assets/_Game/Resources/u36.fbx","","","df92ac2564996814da348089a258201f","Assets/_Game/Resources/u36.fbx","PendingNoCowPrefab","Cow mapping points to a model asset rather than a prefab; procedural fallback retained"
"E01","Enemy","88b3bd44a9baaa14ca68d58fcfc8b60f","Assets/_Game/Art/Prefabs/Enemies/PF_E01.prefab","a326d73ee601f3946ab28f97c0edc432","Assets/_Game/Art/Materials/Mat_E01.mat","d3bdc38d9e243df47a93adcee51b362e","Assets/_Game/Resources/11111/1.fbx","ImportedBatch01",""
"E02","Enemy","dae81429396409043816f2d34ff07cdf","Assets/_Game/Art/Prefabs/Enemies/PF_E02.prefab","b90d41f36eabe7548aa88b2adee64dd9","Assets/_Game/Art/Materials/Mat_E02.mat","7f8fb0ecd50c6d0498fe78ae60d52675","Assets/_Game/Resources/11111/2.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E03","Enemy","0ff406a69ad88384f97d90bd557c387c","Assets/_Game/Art/Prefabs/Enemies/PF_E03.prefab","bac1006a7a3b30d4580c7d8511aa5d7d","Assets/_Game/Art/Materials/Mat_E03.mat","5285d1d77ad220b41b362e3ce71ca0de","Assets/_Game/Resources/11111/3.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E04","Enemy","71fc9b2cac606a145a8f63e936bde192","Assets/_Game/Art/Prefabs/Enemies/PF_E04.prefab","36538b0bee233ac4f803779abc0b3d3c","Assets/_Game/Art/Materials/Mat_E04.mat","15da9bc824a181d4f9c6155bc025b946","Assets/_Game/Resources/11111/4.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E05","Enemy","7f411aff47408564188324ba1c5f5f53","Assets/_Game/Art/Prefabs/Enemies/PF_E05.prefab","59ff1a66bbf66754f8613e3d8ae5f1d6","Assets/_Game/Art/Materials/Mat_E05.mat","2def6418fee239340805d2473950578b","Assets/_Game/Resources/11111/5.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E06","Enemy","0b36364c0d8c8c34a91ea39f779676fc","Assets/_Game/Art/Prefabs/Buildings/PF_E06.prefab","184cbfe1ed6d3c241b7ec9d9b5d2326d","Assets/_Game/Art/Materials/Mat_E06.mat","6587bd970d7104147955315630d14712","Assets/_Game/Resources/11111/6.fbx","ImportedBatch01","Enemy building visual"
"E07","Enemy","0f913102eb457e246b99ac01ec3e9871","Assets/_Game/Art/Prefabs/Buildings/PF_E07.prefab","73e65bf99733ab54ebbdacf1938482a6","Assets/_Game/Art/Materials/Mat_E07.mat","68413b30f6236ad45840f8c4294add33","Assets/_Game/Resources/11111/7.fbx","ImportedBatch01","Enemy building visual"
"E08","Enemy","a30b0e5f800c77047b39e11529caf6dd","Assets/_Game/Art/Prefabs/Enemies/PF_E08.prefab","55741e45fc3691847a2f45b30ef5a003","Assets/_Game/Art/Materials/Mat_E08.mat","27d86da6997118d4aaf9619aa89c3378","Assets/_Game/Resources/11111/8.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E09","Enemy","82c29e4c01003c649ada293f8ccddc1a","Assets/_Game/Art/Prefabs/Enemies/PF_E09.prefab","d1529e003ebb68b4a8fddc9445891703","Assets/_Game/Art/Materials/Mat_E09.mat","b20ae08aeefb5d54e9d3885720dbf2b8","Assets/_Game/Resources/11111/9.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E10","Enemy","1d3986cff5422af42ba543fd066abeb2","Assets/_Game/Art/Prefabs/Enemies/PF_E10.prefab","946a34b62259c4b4ca04041892ffa3d4","Assets/_Game/Art/Materials/Mat_E10.mat","bbb645cefc6d6a3429d906700bbadd2e","Assets/_Game/Resources/11111/10.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E11","Enemy","540218c52e8521e4bae575d475b35c96","Assets/_Game/Art/Prefabs/Enemies/PF_E11.prefab","e57af6a74927ea84a9adc614cb2c3735","Assets/_Game/Art/Materials/Mat_E11.mat","a6c92b4b0361d1b418c4316308aafb58","Assets/_Game/Resources/11111/11.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E12","Enemy","fab33d89383fd1c4b8efda8342a40c0d","Assets/_Game/Art/Prefabs/Buildings/PF_E12.prefab","a86202c880d3fba4fa27159ebf1b7490","Assets/_Game/Art/Materials/Mat_E12.mat","57b0b7d9f47442a438e8fb0ed660e715","Assets/_Game/Resources/11111/12.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E13","Enemy","6c39343024583ed40bd086fabae27a4a","Assets/_Game/Art/Prefabs/Buildings/PF_E13.prefab","b58db6350087459478242d652c66a163","Assets/_Game/Art/Materials/Mat_E13.mat","c68ef938225c36c4189195d2131ed93a","Assets/_Game/Resources/11111/13.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E14","Enemy","4a461845f45e66045bc08178c5e36df1","Assets/_Game/Art/Prefabs/Buildings/PF_E14.prefab","aaca0c6455e6e3444ad38b6412489284","Assets/_Game/Art/Materials/Mat_E14.mat","15bb3752e6a753f41b600e16a200143f","Assets/_Game/Resources/11111/14.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"E15","Enemy","97caf04fd249b9c4da40585470779da8","Assets/_Game/Art/Prefabs/Buildings/PF_E15.prefab","06918f90dbd0876479cfb590c588234a","Assets/_Game/Art/Materials/Mat_E15.mat","18cab212848f1e942a633d195f30e6ec","Assets/_Game/Resources/11111/15.fbx","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
